外邦図_地図記号,外邦図_画像X(px),外邦図_画像Y(py),外邦図_緯度,外邦図_経度,現存結果,正解データ_種別,正解データ_固有名,正解データ_緯度,正解データ_経度,距離差_メートル
shrine,2027.0903778076167,1145.5489807128906,33.318397341496386,130.2911115866448,True,神社,名称不明,33.31822415259692,130.29112860560417,19.32
shrine,2695.9534616470337,1825.277244567871,33.29237510865764,130.3216959237331,True,神社,名称不明,33.292009964482844,130.32140001654622,49.04
shrine,3730.8185424804688,3869.745086669922,33.21431793596068,130.3686641412058,True,神社,名称不明,33.21391705416155,130.36846473813057,48.28
shrine,1623.5449676513672,3169.443298339844,33.24102932288622,130.27274529365346,True,神社,名称不明,33.24080077031248,130.27249127626422,34.7
shrine,2724.859108924866,1580.1115112304688,33.30175412808858,130.32298832068432,True,神社,名称不明,33.30124433706689,130.32304555177686,56.94
shrine,5507.701431274414,3005.255187988281,33.24727004721082,130.4495736928101,True,神社,名称不明,33.24604103295786,130.44940173625946,137.59
shrine,2683.7936401367188,2807.045944213867,33.25485712230585,130.32114452979363,True,神社,名称不明,33.25439093071368,130.32079517841336,61.18
shrine,5078.662796020508,1771.6327209472656,33.29440008472312,130.4300857604068,True,神社,名称不明,33.2936690400858,130.42958155274394,93.83
shrine,3073.6834716796875,3308.906265258789,33.23570249929194,130.338852355871,True,神社,名称不明,33.23525283831113,130.3383703529835,67.15
shrine,1747.1629333496094,1738.5742073059082,33.29570034765177,130.2784230143137,True,神社,名称不明,33.29516778599014,130.2781789004803,63.42
shrine,6035.8480224609375,870.3357696533203,33.32888131094786,130.47336243545084,True,神社,名称不明,33.33028957952845,130.47457158565518,192.72
shrine,4541.144592285156,3100.513153076172,33.24364350122768,130.4056577537456,True,神社,名称不明,33.24316184362925,130.40547519922254,56.18
shrine,3614.9056091308594,3970.04916381836,33.21049668100756,130.36336307143534,False,神社,名称不明,33.20780188607954,130.36173775792122,335.64
shrine,6511.644317626953,756.5046234130859,33.3332332162434,130.49490072969957,True,神社,名称不明,33.33303816098038,130.49448966979978,43.92
shrine,3408.6096954345703,1544.419986486435,33.30311240467974,130.35412480495702,True,神社,名称不明,33.30270708498338,130.35411089658737,45.09
shrine,4015.350646972656,3984.397201538086,33.20994865709953,130.3815834781743,True,神社,名称不明,33.20945021840097,130.3810080885887,77.05
