P29_003,P29_004
"16001",森町立尾白内小学校
"16001",森町立森小学校
"16001",森町立鷲ノ木小学校
"16001",森町立駒ケ岳小学校
"16001",森町立石谷小学校
"16001",森町立石倉小学校
"16001",森町立濁川小学校
"16001",森町立さわら小学校
"16001",八雲町立落部小学校
"16001",八雲町立東野小学校
"16001",八雲町立山越小学校
"16001",八雲町立野田生小学校
"16001",八雲町立浜松小学校
"16001",八雲町立八雲小学校
"16001",八雲町立熊石小学校
"16001",長万部町立長万部小学校
"16001",江差町立江差北小学校
"16001",江差町立江差小学校
"16001",江差町立南が丘小学校
"16001",上ノ国町立上ノ国小学校
"16001",上ノ国町立河北小学校
"16001",厚沢部町立館小学校
"16001",厚沢部町立鶉小学校
"16001",厚沢部町立厚沢部小学校
"16001",乙部町立乙部小学校
"16001",乙部町立明和小学校
"16001",奥尻町立奥尻小学校
"16001",奥尻町立青苗小学校
"16001",今金町立種川小学校
"16001",今金町立今金小学校
"16001",せたな町立久遠小学校
"16001",せたな町立瀬棚小学校
"16001",せたな町立北檜山小学校
"16001",島牧村立島牧小学校
"16001",寿都町立寿都小学校
"16001",寿都町立潮路小学校
"16001",黒松内町立黒松内小学校
"16001",黒松内町立白井川小学校
"16001",蘭越町立蘭越小学校
"16001",蘭越町立昆布小学校
"16001",ニセコ町立ニセコ小学校
"16001",ニセコ町立近藤小学校
"16001",真狩村立真狩小学校
"16001",留寿都村立留寿都小学校
"16001",喜茂別町立喜茂別小学校
"16001",喜茂別町立鈴川小学校
"16001",京極町立京極小学校
"16001",倶知安町立倶知安小学校
"16001",倶知安町立北陽小学校
"16001",倶知安町立東小学校
"16001",倶知安町立西小学校
"16001",倶知安町立西小学校樺山分校
"16001",共和町立東陽小学校
"16001",共和町立北辰小学校
"16001",共和町立西陵小学校
"16001",岩内町立岩内西小学校
"16001",岩内町立岩内東小学校
"16001",泊村立泊小学校
"16001",神恵内村立神恵内小学校
"16001",積丹町立美国小学校
"16001",積丹町立野塚小学校
"16001",積丹町立余別小学校
"16001",積丹町立日司小学校
"16001",古平町立古平小学校
"16001",仁木町立仁木小学校
"16001",仁木町立銀山小学校
"16001",余市町立黒川小学校
"16001",余市町立沢町小学校
"16001",余市町立大川小学校
"16001",余市町立登小学校
"16001",赤井川村立赤井川小学校
"16001",赤井川村立都小学校
"16001",南幌町立南幌小学校
"16001",奈井江町立奈井江小学校
"16001",上砂川町立中央小学校
"16001",由仁町立由仁小学校
"16001",長沼町立長沼小学校
"16001",栗山町立栗山小学校
"16001",栗山町立角田小学校
"16001",栗山町立継立小学校
"16001",月形町立月形小学校
"16001",浦臼町立浦臼小学校
"16001",新十津川町立新十津川小学校
"16001",妹背牛町立妹背牛小学校
"16001",秩父別町立秩父別小学校
"16001",雨竜町立雨竜小学校
"16001",北竜町立真竜小学校
"16001",沼田町立沼田小学校
"16001",鷹栖町立鷹栖小学校
"16001",鷹栖町立北野小学校
"16001",東神楽町立東神楽小学校
"16001",東神楽町立東聖小学校
"16001",東神楽町立志比内小学校
"16001",当麻町立当麻小学校
"16001",当麻町立宇園別小学校
"16001",愛別町立愛別小学校
"16001",上川町立上川小学校
"16001",東川町立東川小学校
"16001",東川町立東川第一小学校
"16001",東川町立東川第二小学校
"16001",東川町立東川第三小学校
"16001",美瑛町立美瑛小学校
"16001",美瑛町立美馬牛小学校
"16001",美瑛町立美沢小学校
"16001",美瑛町立明徳小学校
"16001",美瑛町立美瑛東小学校
"16001",美瑛町立宇莫別小学校
"16001",上富良野町立上富良野小学校
"16001",上富良野町立東中小学校
"16001",上富良野町立上富良野西小学校
"16001",中富良野町立中富良野小学校
"16001",中富良野町立旭中小学校
"16001",中富良野町立宇文小学校
"16001",中富良野町立西中小学校
"16001",南富良野町立南富良野小学校
"16001",南富良野町立南富良野西小学校
"16001",占冠村立占冠中央小学校
"16001",和寒町立和寒小学校
"16001",剣淵町立剣淵小学校
"16001",下川町立下川小学校
"16001",美深町立美深小学校
"16001",美深町立仁宇布小学校
"16001",音威子府村立音威子府小学校
"16001",中川町立中央小学校
"16001",幌加内町立幌加内小学校
"16001",幌加内町立朱鞠内小学校
"16001",増毛町立増毛小学校
"16001",小平町立小平小学校
"16001",小平町立鬼鹿小学校
"16001",苫前町立苫前小学校
"16001",苫前町立古丹別小学校
"16001",羽幌町立羽幌小学校
"16001",羽幌町立天売小学校
"16001",羽幌町立焼尻小学校
"16001",初山別村立初山別小学校
"16001",遠別町立遠別小学校
"16001",天塩町立天塩小学校
"16001",天塩町立啓徳小学校
"16001",猿払村立鬼志別小学校
"16001",猿払村立知来別小学校
"16001",猿払村立浜鬼志別小学校
"16001",猿払村立浅茅野小学校
"16001",浜頓別町立浜頓別小学校
"16001",中頓別町立中頓別小学校
"16001",枝幸町立枝幸小学校
"16001",枝幸町立目梨泊小学校
"16001",枝幸町立岡島小学校
"16001",枝幸町立山臼小学校
"16001",枝幸町立歌登小学校
"16001",枝幸町立風烈布小学校
"16001",枝幸町立音標小学校
"16001",豊富町立豊富小学校
"16001",豊富町立兜沼小学校
"16001",礼文町立礼文小学校
"16001",礼文町立香深井小学校
"16001",礼文町立船泊小学校
"16001",利尻町立沓形小学校
"16001",利尻町立仙法志小学校
"16001",利尻富士町立鴛泊小学校
"16001",利尻富士町立利尻小学校
"16001",幌延町立幌延小学校
"16001",幌延町立問寒別小学校
"16001",美幌町立美幌小学校
"16001",美幌町立東陽小学校
"16001",美幌町立旭小学校
"16001",津別町立津別小学校
"16001",斜里町立斜里小学校
"16001",斜里町立朝日小学校
"16001",清里町立清里小学校
"16001",小清水町立小清水小学校
"16001",訓子府町立訓子府小学校
"16001",訓子府町立居武士小学校
"16001",置戸町立置戸小学校
"16001",佐呂間町立佐呂間小学校
"16001",佐呂間町立若佐小学校
"16001",佐呂間町立浜佐呂間小学校
"16001",遠軽町立生田原小学校
"16001",遠軽町立安国小学校
"16001",遠軽町立遠軽小学校
"16001",遠軽町立東小学校
"16001",遠軽町立南小学校
"16001",遠軽町立丸瀬布小学校
"16001",遠軽町立白滝小学校
"16001",遠軽町立東小学校望の岡分校
"16001",湧別町立上湧別小学校
"16001",湧別町立中湧別小学校
"16001",湧別町立開盛小学校
"16001",湧別町立富美小学校
"16001",滝上町立滝上小学校
"16001",滝上町立濁川小学校
"16001",興部町立興部小学校
"16001",興部町立沙留小学校
"16001",西興部村立西興部小学校
"16001",雄武町立雄武小学校
"16001",雄武町立沢木小学校
"16001",雄武町立共栄小学校
"16001",大空町立東藻琴小学校
"16001",大空町立女満別小学校
"16001",豊浦町立豊浦小学校
"16001",豊浦町立大岸小学校
"16001",豊浦町立礼文華小学校
"16001",壮瞥町立壮瞥小学校
"16001",壮瞥町立久保内小学校
"16001",白老町立白老小学校
"16001",白老町立虎杖小学校
"16001",白老町立竹浦小学校
"16001",白老町立萩野小学校
"16001",厚真町立厚真中央小学校
"16001",厚真町立上厚真小学校
"16001",洞爺湖町立虻田小学校
"16001",洞爺湖町立洞爺湖温泉小学校
"16001",洞爺湖町立とうや小学校
"16001",安平町立追分小学校
"16001",むかわ町立鵡川中央小学校
"16001",むかわ町立穂別小学校
"16001",日高町立日高小学校
"16001",日高町立厚賀小学校
"16001",日高町立富川小学校
"16001",日高町立門別小学校
"16001",平取町立平取小学校
"16001",平取町立紫雲古津小学校
"16001",平取町立振内小学校
"16001",平取町立貫気別小学校
"16001",平取町立二風谷小学校
"16001",新冠町立新冠小学校
"16001",新冠町立朝日小学校
"16001",浦河町立浦河小学校
"16001",浦河町立堺町小学校
"16001",浦河町立荻伏小学校
"16001",浦河町立浦河東部小学校
"16001",様似町立様似小学校
"16001",えりも町立えりも小学校
"16001",えりも町立笛舞小学校
"16001",えりも町立えりも岬小学校
"16001",えりも町立庶野小学校
"16001",新ひだか町立高静小学校
"16001",新ひだか町立静内小学校
"16001",新ひだか町立三石小学校
"16001",新ひだか町立桜丘小学校
"16001",音更町立音更小学校
"16001",音更町立下音更小学校
"16001",音更町立駒場小学校
"16001",音更町立下士幌小学校
"16001",音更町立西中音更小学校
"16001",音更町立東士狩小学校
"16001",音更町立東士幌小学校
"16001",音更町立木野東小学校
"16001",音更町立柳町小学校
